shipment_id,purchase_order_id,origin_country,destination_country,shipment_date,estimated_arrival_date,actual_arrival_date,shipping_method,freight_cost,import_duty,other_import_cost,shipment_status
SHIP000222,PO000580,China,UK,2025-01-12,2025-02-20,2025-02-20,Rail Freight,1532.68,1256.71,381.26,Delivered
SHIP000223,PO000079,UK,UK,2025-11-11,2025-11-16,2025-11-16,Road Freight,3295.29,0.0,330.64,Delivered
SHIP000224,PO001047,UK,UK,2025-05-13,2025-05-09,2025-05-09,Courier,2836.9,0.0,57.71,Delivered
SHIP000225,PO000778,India,UK,2025-03-21,2025-04-11,2025-04-14,Air Freight,1547.56,1304.73,299.55,Delivered
SHIP000226,PO000221,China,UK,2025-07-10,2025-08-11,2025-08-11,Air Freight,1775.8,363.23,135.84,Delivered
SHIP000227,PO000075,China,UK,2025-12-29,2026-02-19,2026-02-20,Sea Freight,1691.41,513.0,180.52,Delivered
SHIP000228,PO000171,UK,UK,2025-10-13,2025-10-12,2025-10-12,Courier,3985.34,0.0,487.42,Delivered
SHIP000229,PO000585,UK,UK,2025-07-30,2025-07-27,2025-07-30,Road Freight,2940.0,0.0,253.6,Delayed
SHIP000230,PO000640,India,UK,2026-03-31,2026-04-27,2026-04-27,Sea Freight,2375.21,635.48,146.53,Delivered
SHIP000231,PO001036,India,UK,2026-01-06,2026-02-09,2026-02-09,Sea Freight,953.58,884.44,73.86,Delivered
SHIP000232,PO001345,India,UK,2026-05-23,2026-06-28,2026-06-28,Air Freight,882.7,690.82,57.85,Delivered
SHIP000233,PO001691,China,UK,2025-12-19,2026-02-03,2026-02-03,Air Freight,2991.22,1176.93,365.25,Delivered
SHIP000234,PO000456,China,UK,2025-01-29,2025-03-05,2025-03-05,Sea Freight,4275.98,615.83,117.18,Delivered
SHIP000235,PO001642,India,UK,2025-09-03,2025-10-05,2025-10-05,Sea Freight,3277.22,1090.13,402.38,Delivered
SHIP000236,PO000506,China,UK,2025-01-26,2025-03-14,2025-03-21,Rail Freight,571.14,1263.95,218.55,Delayed
SHIP000237,PO001625,China,UK,2025-07-14,2025-08-26,2025-08-26,Air Freight,4540.62,1181.88,433.07,Delivered
SHIP000238,PO000555,China,UK,2025-08-18,2025-09-30,2025-10-01,Rail Freight,3601.08,527.91,316.16,Delayed
SHIP000239,PO001035,India,UK,2025-12-09,2026-01-05,2026-01-12,Air Freight,463.8,1359.33,156.48,Delayed
SHIP000240,PO000051,China,UK,2025-07-04,2025-08-25,2025-09-01,Air Freight,2884.38,459.62,452.46,Delayed
SHIP000241,PO000901,China,UK,2025-01-19,2025-02-23,2025-02-23,Sea Freight,1125.19,880.12,123.79,Delivered
SHIP000242,PO000794,India,UK,2025-05-07,2025-06-06,2025-06-13,Air Freight,457.34,1089.82,365.82,Delivered
SHIP000243,PO001391,China,UK,2025-10-20,2025-12-01,2025-12-02,Rail Freight,2334.54,483.31,174.29,Delayed
SHIP000244,PO001072,China,UK,2026-02-19,2026-04-10,2026-04-13,Air Freight,1695.7,871.97,422.95,Delivered
SHIP000245,PO001236,China,UK,2025-10-21,2025-12-06,2025-12-07,Sea Freight,849.98,813.72,394.69,Delivered
SHIP000246,PO000232,UK,UK,2025-11-05,2025-11-08,2025-11-15,Courier,2861.89,0.0,111.55,Delivered
SHIP000247,PO000082,China,UK,2026-05-31,2026-07-02,2026-07-05,Air Freight,3928.89,633.3,491.54,Delayed
SHIP000248,PO001915,UK,UK,2026-02-22,2026-02-22,2026-02-22,Courier,1963.39,0.0,397.76,Delivered
SHIP000249,PO001668,India,UK,2026-05-16,2026-06-10,2026-06-10,Sea Freight,4025.62,842.9,458.11,Delivered
SHIP000250,PO000106,China,UK,2026-01-26,2026-03-11,2026-03-11,Rail Freight,3473.35,910.28,247.69,Delivered
SHIP000251,PO000457,China,UK,2026-04-30,2026-06-18,2026-06-21,Sea Freight,2796.78,190.33,383.16,Delayed
SHIP000252,PO000449,India,UK,2025-03-29,2025-04-21,2025-04-22,Sea Freight,315.07,563.3,165.71,Delayed
SHIP000253,PO000620,UK,UK,2025-06-12,2025-06-17,2025-06-17,Courier,1095.66,0.0,450.84,Delivered
SHIP000254,PO001242,India,UK,2025-10-22,2025-11-10,2025-11-17,Air Freight,237.58,212.02,278.69,Delivered
SHIP000255,PO000285,UK,UK,2026-02-21,2026-02-25,2026-02-25,Courier,620.98,0.0,161.27,Delivered
SHIP000256,PO000623,China,UK,2026-04-28,2026-05-27,2026-05-30,Air Freight,4591.39,1406.79,418.44,Delayed
SHIP000257,PO000334,China,UK,2025-02-24,2025-04-15,2025-04-15,Air Freight,4037.03,1494.14,398.19,Delivered
SHIP000258,PO000991,India,UK,2025-11-23,2025-12-24,2025-12-25,Sea Freight,841.96,1448.12,192.3,Delivered
SHIP000259,PO000036,India,UK,2026-02-26,2026-03-28,2026-03-28,Air Freight,3418.89,915.1,209.53,Delivered
SHIP000260,PO001092,China,UK,2026-02-12,2026-03-14,2026-03-17,Rail Freight,4127.42,452.39,155.62,Delivered
SHIP000261,PO001503,UK,UK,2025-06-12,2025-06-16,2025-06-16,Road Freight,457.32,0.0,129.65,Delivered
SHIP000262,PO001752,India,UK,2025-01-18,2025-02-21,2025-02-21,Sea Freight,2898.2,1125.54,320.24,Delivered
SHIP000263,PO000757,India,UK,2025-06-04,2025-06-30,2025-06-30,Air Freight,872.31,1338.63,367.05,Delivered
SHIP000264,PO001493,India,UK,2025-12-04,2026-01-03,2026-01-10,Air Freight,1816.45,1370.15,419.07,Delayed
SHIP000265,PO000734,China,UK,2026-07-26,2026-09-21,2026-09-22,Rail Freight,1268.22,249.23,73.64,Delayed
SHIP000266,PO001548,China,UK,2025-06-22,2025-08-14,2025-08-14,Air Freight,1115.76,188.21,68.26,Delivered
SHIP000267,PO001985,India,UK,2025-11-30,2025-12-20,2025-12-23,Sea Freight,3011.16,1431.78,242.04,Delivered
SHIP000268,PO001763,China,UK,2026-04-28,2026-06-01,2026-06-04,Sea Freight,772.26,628.12,276.17,Delivered
SHIP000269,PO001572,UK,UK,2025-04-05,2025-04-11,2025-04-14,Road Freight,613.14,0.0,111.26,Delivered
SHIP000270,PO000050,China,UK,2026-05-23,2026-06-29,2026-06-29,Rail Freight,2771.09,1408.28,362.86,Delivered
SHIP000271,PO001237,UK,UK,2025-06-06,2025-06-03,2025-06-04,Courier,1667.46,0.0,475.19,Delivered
SHIP000272,PO000177,India,UK,2025-12-21,2026-01-19,2026-01-20,Air Freight,2219.47,1056.69,324.15,Delivered
SHIP000273,PO000415,India,UK,2026-07-20,2026-08-11,2026-08-11,Air Freight,114.93,1387.67,102.93,Delivered
SHIP000274,PO001655,India,UK,2026-06-13,2026-07-09,2026-07-09,Sea Freight,4428.44,1095.64,378.27,Delivered
SHIP000275,PO001923,India,UK,2025-01-25,2025-02-21,2025-02-21,Air Freight,962.02,840.83,84.91,Delivered
SHIP000276,PO000571,China,UK,2025-06-30,2025-08-21,2025-08-22,Rail Freight,2577.49,168.24,192.41,Delivered
SHIP000277,PO001864,India,UK,2025-07-29,2025-08-26,2025-08-29,Air Freight,429.4,1426.31,248.32,Delayed
SHIP000278,PO001246,India,UK,2026-07-25,2026-08-26,2026-08-26,Sea Freight,1517.59,501.79,76.27,Delivered
SHIP000279,PO001100,China,UK,2025-09-12,2025-10-27,2025-10-30,Rail Freight,3631.74,1470.89,225.55,Delayed
SHIP000280,PO000596,UK,UK,2026-01-14,2026-01-12,2026-01-12,Road Freight,1580.12,0.0,190.01,Delivered
SHIP000281,PO001977,UK,UK,2025-12-25,2025-12-27,2025-12-27,Courier,1038.96,0.0,323.43,Delivered
SHIP000282,PO000572,China,UK,2026-02-20,2026-04-16,2026-04-16,Rail Freight,504.32,1247.43,366.77,Delivered
SHIP000283,PO001366,China,UK,2025-06-09,2025-07-20,2025-07-20,Sea Freight,508.15,1273.48,316.75,Delivered
SHIP000284,PO000194,China,UK,2025-05-08,2025-06-11,2025-06-11,Air Freight,3444.07,151.72,94.18,Delivered
SHIP000285,PO001445,India,UK,2026-06-25,2026-07-26,2026-07-26,Air Freight,2762.56,978.42,140.28,Delivered
SHIP000286,PO001207,India,UK,2025-04-03,2025-05-02,2025-05-02,Sea Freight,1724.65,502.63,499.95,Delivered
SHIP000287,PO001423,UK,UK,2025-11-04,2025-11-06,2025-11-07,Courier,4911.21,0.0,160.69,Delayed
SHIP000288,PO000841,India,UK,2026-04-22,2026-05-19,2026-05-20,Air Freight,4334.74,1293.43,169.09,Delivered
SHIP000289,PO000852,China,UK,2025-04-07,2025-05-24,2025-05-31,Air Freight,1955.4,1248.97,353.79,Delayed
SHIP000290,PO001854,India,UK,2025-06-24,2025-07-20,2025-07-20,Sea Freight,2661.61,1018.4,172.94,Delivered
SHIP000291,PO001712,China,UK,2026-01-09,2026-02-19,2026-02-19,Air Freight,867.39,1437.32,150.76,Delivered
SHIP000292,PO001362,China,UK,2025-04-05,2025-05-12,2025-05-13,Sea Freight,4123.02,274.9,490.59,Delivered
SHIP000293,PO001825,China,UK,2025-02-24,2025-04-09,2025-04-12,Air Freight,1678.85,269.8,394.59,Delivered
SHIP000294,PO001806,India,UK,2025-04-21,2025-05-19,2025-05-22,Sea Freight,2358.07,1430.71,177.57,Delayed
SHIP000295,PO000419,India,UK,2025-09-30,2025-10-28,2025-11-04,Sea Freight,2220.83,1193.23,318.67,Delivered
SHIP000296,PO001612,China,UK,2025-05-09,2025-06-06,2025-06-06,Rail Freight,687.48,1046.05,399.65,Delivered
SHIP000297,PO000130,China,UK,2026-04-30,2026-06-02,2026-06-02,Sea Freight,2793.56,786.72,387.36,Delivered
SHIP000298,PO000320,China,UK,2025-07-11,2025-09-04,2025-09-05,Rail Freight,1826.71,1202.5,253.58,Delivered
SHIP000299,PO000349,China,UK,2025-11-21,2026-01-12,2026-01-15,Air Freight,2488.39,780.95,339.88,Delayed
SHIP000300,PO000487,India,UK,2026-04-06,2026-05-07,2026-05-07,Air Freight,4784.27,143.52,464.74,Delivered
SHIP000301,PO000959,China,UK,2025-12-09,2026-01-08,2026-01-08,Rail Freight,3405.19,1283.19,411.94,Delivered
SHIP000302,PO001829,China,UK,2025-10-26,2025-11-30,2025-11-30,Rail Freight,3562.62,1424.96,236.84,Delivered
SHIP000303,PO000910,China,UK,2025-06-29,2025-08-12,2025-08-12,Air Freight,1629.79,1016.86,367.63,Delivered
SHIP000304,PO000496,India,UK,2025-02-05,2025-03-02,2025-03-03,Air Freight,631.76,316.51,287.42,Delivered
SHIP000305,PO000204,India,UK,2025-09-03,2025-10-02,2025-10-09,Sea Freight,2381.04,1480.51,190.1,Delayed
SHIP000306,PO000463,China,UK,2025-08-15,2025-10-05,2025-10-05,Rail Freight,988.08,789.89,198.39,Delivered
SHIP000307,PO001380,China,UK,2025-03-03,2025-04-26,2025-04-26,Rail Freight,2940.45,317.75,396.68,Delivered
SHIP000308,PO001716,China,UK,2025-02-17,2025-03-24,2025-03-24,Rail Freight,1117.64,968.92,434.14,Delivered
SHIP000309,PO001995,China,UK,2025-10-25,2025-11-24,2025-11-24,Sea Freight,4044.83,121.29,87.0,Delivered
SHIP000310,PO000281,China,UK,2026-02-26,2026-04-07,2026-04-08,Air Freight,4619.21,455.68,444.84,Delivered
SHIP000311,PO000443,China,UK,2025-03-22,2025-05-05,2025-05-05,Rail Freight,1930.56,1413.34,167.53,Delivered
SHIP000312,PO000073,China,UK,2026-02-21,2026-03-27,2026-03-30,Sea Freight,3203.38,231.98,377.03,Delivered
SHIP000313,PO000749,India,UK,2025-09-08,2025-10-03,2025-10-10,Air Freight,256.08,657.61,372.03,Delayed
SHIP000314,PO000968,China,UK,2026-07-16,2026-09-07,2026-09-08,Sea Freight,4102.37,844.94,172.53,Delayed
SHIP000315,PO001772,India,UK,2025-04-30,2025-06-02,2025-06-02,Sea Freight,548.24,531.24,293.71,Delivered
SHIP000316,PO001823,India,UK,2025-12-06,2025-12-30,2025-12-30,Sea Freight,1349.04,1479.15,303.6,Delivered
SHIP000317,PO001408,China,UK,2025-11-04,2025-12-26,2025-12-26,Sea Freight,2687.07,1425.35,164.72,Delivered
SHIP000318,PO000394,China,UK,2026-05-21,2026-07-10,2026-07-10,Rail Freight,3851.7,545.26,244.82,Delivered
SHIP000319,PO001679,China,UK,2025-02-16,2025-04-04,2025-04-04,Sea Freight,4419.55,1133.65,402.43,Delivered
SHIP000320,PO001327,India,UK,2025-03-28,2025-04-27,2025-04-28,Sea Freight,2614.95,827.98,291.32,Delivered
SHIP000321,PO001685,UK,UK,2026-05-22,2026-05-22,2026-05-25,Road Freight,4973.36,0.0,230.42,Delivered
SHIP000322,PO001001,India,UK,2025-09-20,2025-10-15,2025-10-18,Sea Freight,149.06,219.84,466.66,Delayed
SHIP000323,PO000703,India,UK,2025-01-20,2025-02-14,2025-02-14,Air Freight,338.44,675.07,441.24,Delivered
SHIP000324,PO001412,UK,UK,2025-08-30,2025-08-31,2025-08-31,Courier,483.64,0.0,190.57,Delivered
SHIP000325,PO001530,India,UK,2025-07-30,2025-08-30,2025-08-30,Sea Freight,753.12,1440.4,369.31,Delivered
SHIP000326,PO001578,UK,UK,2025-09-01,2025-08-29,2025-08-30,Road Freight,4879.6,0.0,144.66,Delayed
SHIP000327,PO001836,China,UK,2026-05-29,2026-07-10,2026-07-10,Air Freight,503.85,134.39,306.15,Delivered
SHIP000328,PO001377,India,UK,2026-01-13,2026-02-01,2026-02-01,Sea Freight,1947.91,1059.2,74.51,Delivered
SHIP000329,PO001308,China,UK,2025-10-04,2025-11-13,2025-11-16,Air Freight,3945.77,1326.73,118.3,Delivered
SHIP000330,PO001583,China,UK,2025-08-16,2025-10-09,2025-10-09,Air Freight,3243.31,552.86,112.56,Delivered
SHIP000331,PO000651,India,UK,2025-06-08,2025-06-29,2025-06-30,Air Freight,2013.73,1173.31,404.94,Delayed
SHIP000332,PO000612,China,UK,2025-08-09,2025-09-12,2025-09-12,Air Freight,1290.2,786.59,354.44,Delivered
SHIP000333,PO000860,China,UK,2025-12-21,2026-01-31,2026-01-31,Rail Freight,1455.89,1041.66,133.71,Delivered
SHIP000334,PO000276,India,UK,2026-03-13,2026-04-13,2026-04-13,Air Freight,738.92,1164.38,251.57,Delivered
SHIP000335,PO000908,China,UK,2026-01-03,2026-02-05,2026-02-05,Sea Freight,4640.87,924.61,143.41,Delivered
SHIP000336,PO000254,India,UK,2025-07-08,2025-07-28,2025-07-31,Air Freight,3858.75,1459.51,121.25,Delivered
SHIP000337,PO001509,India,UK,2025-11-19,2025-12-15,2025-12-15,Air Freight,3712.43,524.77,369.37,Delivered
SHIP000338,PO001560,UK,UK,2026-05-18,2026-05-22,2026-06-05,Courier,2889.0,0.0,363.46,Delivered
SHIP000339,PO000369,China,UK,2025-08-30,2025-10-09,2025-10-09,Sea Freight,2215.1,1357.67,356.34,Delivered
SHIP000340,PO001275,India,UK,2025-01-15,2025-02-11,2025-02-14,Sea Freight,3332.48,622.94,339.32,Delayed
SHIP000341,PO000505,UK,UK,2025-05-22,2025-05-24,2025-05-24,Road Freight,229.5,0.0,264.21,Delivered
SHIP000342,PO001435,UK,UK,2025-12-31,2026-01-01,2026-01-01,Courier,4868.41,0.0,153.28,Delivered
SHIP000343,PO000552,China,UK,2025-08-10,2025-09-19,2025-09-19,Rail Freight,239.11,697.15,181.07,Delivered
SHIP000344,PO001904,India,UK,2026-05-30,2026-06-20,2026-06-20,Air Freight,4566.5,405.85,263.62,Delivered
SHIP000345,PO000545,UK,UK,2025-04-15,2025-04-10,2025-04-10,Courier,420.99,0.0,444.96,Delivered
SHIP000346,PO000077,India,UK,2025-09-14,2025-10-08,2025-10-08,Sea Freight,1981.57,290.84,319.65,Delivered
SHIP000347,PO000927,UK,UK,2025-05-24,2025-05-19,2025-05-19,Road Freight,937.82,0.0,169.37,Delivered
SHIP000348,PO000274,China,UK,2025-05-15,2025-07-05,2025-07-06,Rail Freight,2891.0,1305.7,258.72,Delayed
SHIP000349,PO000057,China,UK,2025-05-07,2025-06-19,2025-06-20,Sea Freight,2102.28,1013.84,215.67,Delayed
SHIP000350,PO000475,UK,UK,2025-06-03,2025-06-06,2025-06-07,Courier,3126.07,0.0,367.19,Delivered
SHIP000351,PO001334,China,UK,2025-09-07,2025-10-06,2025-10-06,Sea Freight,327.62,665.39,62.5,Delivered
SHIP000352,PO000978,China,UK,2025-03-22,2025-05-03,2025-05-04,Rail Freight,3276.24,122.71,185.76,Delayed
SHIP000353,PO000350,China,UK,2025-03-10,2025-04-20,2025-04-21,Air Freight,4122.88,1290.63,216.98,Delivered
SHIP000354,PO001356,China,UK,2025-04-19,2025-06-01,2025-06-01,Air Freight,1623.49,381.54,428.8,Delivered
SHIP000355,PO000613,China,UK,2026-02-28,2026-04-21,2026-04-22,Air Freight,561.37,319.71,118.49,Delivered
SHIP000356,PO001182,China,UK,2025-05-08,2025-06-15,2025-06-15,Sea Freight,2568.03,953.9,136.02,Delivered
SHIP000357,PO001223,China,UK,2025-12-26,2026-01-30,2026-01-30,Rail Freight,3844.1,985.56,465.17,Delivered
SHIP000358,PO001800,India,UK,2025-05-09,2025-06-02,2025-06-02,Sea Freight,129.2,608.54,316.39,Delivered
SHIP000359,PO000846,China,UK,2025-05-14,2025-07-05,2025-07-05,Rail Freight,562.84,535.53,291.37,Delivered
SHIP000360,PO000489,China,UK,2025-02-21,2025-04-04,2025-04-04,Rail Freight,4501.18,1017.11,491.42,Delivered
SHIP000361,PO001202,China,UK,2025-06-29,2025-08-11,2025-08-11,Rail Freight,3359.82,589.83,242.11,Delivered
SHIP000362,PO001482,China,UK,2025-06-10,2025-07-14,2025-07-14,Rail Freight,3226.54,180.82,466.48,Delivered
SHIP000363,PO001759,India,UK,2025-05-24,2025-06-18,2025-06-18,Air Freight,3996.41,532.82,357.41,Delivered
SHIP000364,PO000921,China,UK,2026-01-20,2026-03-13,2026-03-16,Rail Freight,516.48,413.59,304.48,Delayed
SHIP000365,PO001974,India,UK,2025-11-18,2025-12-19,2025-12-20,Sea Freight,1705.23,1158.17,102.35,Delayed
SHIP000366,PO000508,China,UK,2026-04-27,2026-06-11,2026-06-25,Rail Freight,2179.61,173.9,430.3,Delivered
SHIP000367,PO001918,UK,UK,2026-01-11,2026-01-10,2026-01-10,Courier,1291.82,0.0,332.34,Delivered
SHIP000368,PO000202,UK,UK,2025-05-26,2025-05-21,2025-05-22,Road Freight,1452.24,0.0,367.49,Delayed
SHIP000369,PO000576,India,UK,2025-08-20,2025-09-22,2025-09-22,Sea Freight,1683.8,435.56,137.73,Delivered
SHIP000370,PO001686,UK,UK,2025-01-25,2025-01-30,2025-01-31,Courier,4525.4,0.0,399.41,Delayed
SHIP000371,PO000583,China,UK,2026-01-02,2026-02-22,2026-02-23,Air Freight,2698.03,213.71,434.86,Delivered
SHIP000372,PO001637,China,UK,2025-06-16,2025-08-02,2025-08-02,Sea Freight,1430.48,774.89,250.47,Delivered
SHIP000373,PO000604,India,UK,2026-01-14,2026-02-16,2026-02-16,Sea Freight,2646.76,307.76,92.4,Delivered
SHIP000374,PO000150,UK,UK,2025-05-19,2025-05-21,2025-05-21,Road Freight,805.41,0.0,358.99,Delivered
SHIP000375,PO001501,India,UK,2026-03-08,2026-04-12,2026-04-12,Sea Freight,4078.48,583.5,320.12,Delivered
SHIP000376,PO000707,China,UK,2025-02-03,2025-03-22,2025-04-05,Sea Freight,3089.44,1291.4,227.37,Delivered
SHIP000377,PO001870,China,UK,2025-04-17,2025-06-08,2025-06-08,Air Freight,482.13,765.24,477.35,Delivered
SHIP000378,PO000357,China,UK,2025-07-18,2025-08-31,2025-09-03,Air Freight,2616.71,792.46,154.32,Delayed
SHIP000379,PO001556,China,UK,2025-10-17,2025-11-27,2025-12-04,Air Freight,3558.96,1303.26,153.8,Delayed
SHIP000380,PO001437,India,UK,2025-02-04,2025-03-08,2025-03-08,Sea Freight,3313.35,490.72,95.69,Delivered
SHIP000381,PO000986,China,UK,2026-05-30,2026-07-03,2026-07-04,Rail Freight,998.84,280.21,396.59,Delayed
SHIP000382,PO000650,India,UK,2026-02-06,2026-03-08,2026-03-09,Sea Freight,2115.14,870.91,200.11,Delivered
SHIP000383,PO000617,UK,UK,2025-08-09,2025-08-13,2025-08-13,Road Freight,164.13,0.0,73.85,Delivered
SHIP000384,PO000286,UK,UK,2026-01-05,2026-01-06,2026-01-13,Courier,4903.07,0.0,239.07,Delayed
SHIP000385,PO000193,China,UK,2026-01-31,2026-03-05,2026-03-05,Sea Freight,1336.93,391.57,437.51,Delivered
SHIP000386,PO000881,China,UK,2025-11-07,2025-12-29,2025-12-29,Rail Freight,4407.85,1321.01,380.79,Delivered
SHIP000387,PO000258,India,UK,2025-04-01,2025-04-30,2025-05-03,Air Freight,2852.99,527.05,456.9,Delivered
SHIP000388,PO001948,China,UK,2026-01-21,2026-03-09,2026-03-12,Sea Freight,3275.56,356.53,448.58,Delayed
SHIP000389,PO000561,UK,UK,2026-07-18,2026-07-14,2026-07-15,Road Freight,3391.01,0.0,303.83,Delayed
SHIP000390,PO001249,China,UK,2025-12-19,2026-01-27,2026-01-27,Air Freight,1900.84,564.34,378.71,Delivered
SHIP000391,PO000436,India,UK,2026-01-25,2026-02-23,2026-02-23,Sea Freight,1422.41,740.85,306.58,Delivered
SHIP000392,PO000859,China,UK,2026-01-23,2026-03-09,2026-03-09,Rail Freight,831.51,1264.42,252.05,Delivered
SHIP000393,PO000453,China,UK,2026-03-01,2026-04-13,2026-04-16,Sea Freight,1373.8,1087.82,89.13,Delivered
SHIP000394,PO000641,India,UK,2025-08-16,2025-09-15,2025-09-15,Air Freight,716.58,411.94,248.97,Delivered
SHIP000395,PO001042,India,UK,2025-02-16,2025-03-10,2025-03-10,Sea Freight,123.17,692.76,154.3,Delivered
SHIP000396,PO001615,China,UK,2026-03-05,2026-04-03,2026-04-03,Air Freight,1525.93,1352.47,132.2,Delivered
SHIP000397,PO001483,China,UK,2025-08-24,2025-10-13,2025-10-27,Air Freight,1900.08,1149.25,338.84,Delayed
SHIP000398,PO001575,India,UK,2026-04-29,2026-06-03,2026-06-04,Sea Freight,1868.21,1480.88,130.66,Delayed
SHIP000399,PO000265,India,UK,2025-05-04,2025-05-23,2025-05-26,Sea Freight,4928.21,548.85,391.57,Delivered
SHIP000400,PO001430,UK,UK,2025-02-05,2025-02-10,2025-02-11,Courier,1192.08,0.0,329.74,Delivered
SHIP000401,PO001304,China,UK,2026-04-16,2026-06-07,2026-06-07,Rail Freight,2010.08,1214.79,320.15,Delivered
SHIP000402,PO000553,UK,UK,2025-05-07,2025-05-08,2025-05-09,Courier,3622.48,0.0,152.24,Delivered
SHIP000403,PO000803,China,UK,2025-03-13,2025-04-21,2025-04-21,Rail Freight,4099.54,1080.53,132.16,Delivered
SHIP000404,PO000402,India,UK,2026-05-24,2026-06-15,2026-06-15,Sea Freight,2246.38,756.34,437.96,Delivered
SHIP000405,PO001454,China,UK,2026-06-18,2026-08-12,2026-08-12,Sea Freight,1634.95,648.26,369.35,Delivered
SHIP000406,PO001387,China,UK,2025-02-27,2025-04-24,2025-04-24,Rail Freight,4118.27,785.2,289.43,Delivered
SHIP000407,PO001347,India,UK,2025-03-04,2025-03-28,2025-03-28,Sea Freight,712.45,762.64,119.54,Delivered
SHIP000408,PO001620,India,UK,2026-06-28,2026-07-20,2026-07-23,Air Freight,3046.31,1423.68,170.91,Delivered
SHIP000409,PO001353,China,UK,2025-02-01,2025-03-14,2025-03-14,Sea Freight,2472.89,233.49,204.52,Delivered
SHIP000410,PO000429,China,UK,2025-04-04,2025-05-25,2025-05-28,Sea Freight,1627.44,679.51,211.41,Delivered
SHIP000411,PO001463,India,UK,2025-10-01,2025-10-26,2025-10-29,Air Freight,4369.83,1106.85,157.16,Delayed
SHIP000412,PO001592,China,UK,2026-04-07,2026-05-26,2026-05-26,Air Freight,1293.38,792.52,227.16,Delivered
SHIP000413,PO000879,UK,UK,2025-06-01,2025-05-28,2025-05-31,Road Freight,1346.45,0.0,363.83,Delayed
SHIP000414,PO001638,UK,UK,2026-03-21,2026-03-21,2026-03-21,Road Freight,3541.23,0.0,307.51,Delivered
SHIP000415,PO000523,China,UK,2026-03-16,2026-04-27,2026-04-28,Air Freight,1932.21,981.47,459.69,Delayed
SHIP000416,PO001152,China,UK,2025-07-17,2025-08-25,2025-08-25,Rail Freight,4892.36,172.36,415.27,Delivered
SHIP000417,PO000191,India,UK,2026-03-26,2026-04-27,2026-04-28,Sea Freight,1705.54,1308.09,336.49,Delayed
SHIP000418,PO000179,China,UK,2025-10-08,2025-11-25,2025-11-26,Rail Freight,2112.95,351.85,273.44,Delayed
SHIP000419,PO000308,India,UK,2025-09-22,2025-10-21,2025-10-24,Air Freight,1487.63,751.65,422.63,Delivered
SHIP000420,PO000521,China,UK,2026-01-10,2026-03-06,2026-03-07,Air Freight,3848.01,742.07,197.78,Delivered
SHIP000421,PO000599,China,UK,2025-10-14,2025-12-03,2025-12-10,Air Freight,993.08,749.04,283.87,Delivered
SHIP000422,PO000317,China,UK,2025-08-28,2025-10-19,2025-10-19,Air Freight,1812.11,649.74,132.75,Delivered
SHIP000423,PO001876,China,UK,2025-08-12,2025-09-14,2025-09-14,Air Freight,4706.68,179.9,410.5,Delivered
SHIP000424,PO000589,China,UK,2025-07-04,2025-08-05,2025-08-05,Sea Freight,3362.95,658.1,325.37,Delivered
SHIP000425,PO001653,China,UK,2025-03-27,2025-05-12,2025-05-13,Rail Freight,4463.16,292.82,58.15,Delayed
SHIP000426,PO001159,China,UK,2025-12-19,2026-02-10,2026-02-13,Rail Freight,2222.72,1334.75,364.69,Delayed
SHIP000427,PO001930,China,UK,2025-09-15,2025-10-15,2025-10-15,Rail Freight,3563.65,1072.47,405.42,Delivered
SHIP000428,PO001769,India,UK,2025-07-04,2025-07-25,2025-07-26,Sea Freight,1134.78,152.45,375.47,Delayed
SHIP000429,PO001957,UK,UK,2026-02-06,2026-02-10,2026-02-17,Courier,2718.09,0.0,254.71,Delivered
SHIP000430,PO000848,India,UK,2026-04-03,2026-04-23,2026-04-26,Sea Freight,1136.89,496.51,299.44,Delayed
SHIP000431,PO000446,China,UK,2025-09-05,2025-10-18,2025-10-21,Air Freight,2764.61,1237.45,193.96,Delayed
SHIP000432,PO000391,China,UK,2026-07-06,2026-08-04,2026-08-04,Sea Freight,2109.75,317.65,85.96,Delivered
SHIP000433,PO000956,China,UK,2025-02-20,2025-04-06,2025-04-06,Rail Freight,581.1,199.9,196.04,Delivered
SHIP000434,PO000621,China,UK,2026-01-11,2026-03-06,2026-03-06,Sea Freight,821.7,621.11,430.54,Delivered
SHIP000435,PO000953,UK,UK,2026-05-22,2026-05-28,2026-05-28,Road Freight,245.88,0.0,66.79,Delivered
SHIP000436,PO001004,China,UK,2026-07-07,2026-08-19,2026-08-22,Sea Freight,2996.25,1230.54,326.81,Delayed
SHIP000437,PO000652,India,UK,2026-01-26,2026-02-24,2026-02-25,Air Freight,2460.92,1313.68,306.27,Delivered
SHIP000438,PO000184,UK,UK,2025-06-20,2025-06-20,2025-06-20,Road Freight,504.14,0.0,233.67,Delivered
SHIP000439,PO000562,India,UK,2025-11-05,2025-11-30,2025-12-07,Air Freight,120.4,492.59,300.9,Delayed
SHIP000440,PO001832,India,UK,2025-02-12,2025-03-05,2025-03-06,Sea Freight,4742.87,831.55,391.33,Delivered
SHIP000441,PO000630,China,UK,2026-03-28,2026-05-05,2026-05-05,Air Freight,2000.77,1062.29,329.57,Delivered
SHIP000442,PO000797,India,UK,2025-10-07,2025-11-03,2025-11-06,Sea Freight,2258.01,710.52,153.83,Delivered
SHIP000443,PO000352,India,UK,2026-06-21,2026-07-17,2026-07-17,Air Freight,453.88,1323.8,80.4,Delivered
